time,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSGD00003.chdata,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSGD00004.chdata
="2026/04/02 16:34:43.400",0.56591,0.34167,-0.59089,0.07416,-0.62118,0.29493,0.48166,0.10627,0.09241,0.37238,0.07576,-1.60597,1.17835,-0.15956,0.59293,29.52689,0.28008,-0.25469,-1.66294,866.51996
="2026/04/02 16:34:43.420",0.81166,0.37343,-0.61649,-0.72803,-0.2379,-1.6412,0.64813,0.07567,0.04769,0.85177,0.15804,-0.92371,2.06868,-0.04323,-0.11913,30.42907,0.17021,-0.19439,-1.69257,864.79968
="2026/04/02 16:34:43.440",1.15266,0.17827,-1.84575,-0.43838,-0.6626,-0.74085,0.86054,0.06232,-0.06274,0.70222,-0.03823,-1.19009,1.60482,-0.09408,-0.04487,29.75189,0.33266,-0.16548,-1.35092,864.19165
="2026/04/02 16:34:43.460",0.066,0.14193,0.24648,0.87676,-0.78464,-0.89884,0.48017,0.05161,0.13317,0.83148,0.14379,-1.28537,1.11504,-0.13891,0.43682,27.37569,0.3162,0.04822,-1.20341,861.91296
="2026/04/02 16:34:43.480",0.81318,0.06789,-0.88961,-0.60796,-0.15486,-2.15756,0.55286,0.2028,0.11217,0.81259,0.12737,-0.33749,1.90484,0.05158,-0.57128,25.57147,0.11494,-0.24869,-0.84534,859.87238
="2026/04/02 16:34:43.500",0.28332,-0.03763,-0.64222,0.76346,-0.24865,-1.63321,0.30708,0.09387,0.15389,0.98408,0.18197,-1.32699,1.00031,-0.08559,-0.26618,21.81928,0.44332,-0.49248,-0.32939,858.01764
="2026/04/02 16:34:43.520",-0.3158,0.01034,0.48265,1.59428,0.26314,-1.32719,-0.03139,0.12057,0.01314,0.83683,-0.06407,0.40487,0.96365,0.06048,-0.14087,19.49207,0.19328,-0.00381,-0.00072,855.65741
="2026/04/02 16:34:43.540",0.35643,-0.03077,-0.91777,0.08225,0.6409,-2.27169,0.14285,-0.0239,0.01989,0.92714,0.03594,0.06439,0.89269,0.10118,-0.30177,17.17806,0.35161,-0.19814,0.57497,854.30164
="2026/04/02 16:34:43.560",-0.71603,0.04868,0.68379,1.88063,0.07322,0.09537,0.12856,-0.07269,0.02279,0.33351,-0.08527,0.21054,-0.12433,-0.06394,0.18065,13.39667,0.31603,0.31899,0.89081,852.73065
="2026/04/02 16:34:43.580",-0.44095,0.02154,0.48615,0.17863,0.90052,-1.09067,-0.32204,-0.08049,0.00764,0.23784,-0.07538,1.2791,0.10496,0.07224,-0.12547,12.28077,-0.03365,0.53597,1.47918,852.05475
="2026/04/02 16:34:43.600",-0.60697,-0.17368,-0.16837,0.33875,0.25512,0.34467,-0.26907,-0.04614,-0.04879,0.06534,-0.09723,0.51432,-0.88129,-0.03784,-0.19296,11.12487,0.05959,0.28362,1.5975,852.17444
="2026/04/02 16:34:43.620",-1.1641,-0.28651,1.73201,1.34751,-0.00519,1.35728,-0.53866,-0.0661,-0.06915,-0.50627,-0.08662,1.49531,-1.15681,-0.03831,0.17857,9.92351,-0.1797,0.72012,1.57852,852.85205
="2026/04/02 16:34:43.640",-0.52033,-0.35837,0.42699,-0.46425,0.65087,-0.00045,-0.71586,-0.09443,-0.15888,-0.32915,-0.05094,1.43469,-1.03271,0.21582,-0.14365,10.60366,-0.27297,0.45652,1.81231,854.64929
="2026/04/02 16:34:43.660",-0.75522,-0.32724,0.79651,0.92141,0.0961,1.87836,-0.56432,-0.08893,-0.09401,-0.8044,-0.2742,0.9669,-1.83542,0.06967,0.37423,11.31778,-0.23192,0.40524,1.73588,857.55042
="2026/04/02 16:34:43.680",-1.12098,-0.12938,2.02109,0.19798,0.34414,0.68204,-1.15006,-0.00678,0.03085,-0.48192,0.23757,1.28669,-1.29989,0.19409,0.18416,14.06166,-0.42083,0.34173,1.7015,860.94574
="2026/04/02 16:34:43.700",-0.03607,-0.1557,-0.41708,-0.47979,0.44576,0.93921,-0.50548,-0.04919,-0.05011,-0.68316,-0.21735,1.1992,-0.74748,0.15864,-0.55843,16.29236,-0.36838,-0.03269,1.25242,864.87512
