time,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSGD00003.chdata,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSGD00004.chdata,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ
="2026/04/02 15:40:48.220",-0.16963,0.11844,-0.09737,0.4006,-0.04026,0.15047,22.9302,-0.0397,-0.00928,-0.02091,865.52277,-0.0954,-0.01657,0.12841,0.50754,-0.00245,-0.3755,-0.22473,0.03194,-0.239
="2026/04/02 15:40:48.240",-0.03665,0.13347,-0.02767,0.06297,0.2467,-0.84218,19.95815,-0.04148,0.00192,0.00619,866.78339,0.00839,0.00317,0.00201,-0.02961,0.09165,-0.11046,-0.02349,0.03741,0.17948
="2026/04/02 15:40:48.260",-0.16028,0.11423,0.1739,0.60646,0.2524,-0.71797,20.06591,-0.00735,0.01478,0.004,869.43738,-0.29725,-0.04468,-0.01236,0.23716,0.00973,-0.39623,-0.18554,0.07036,0.05563
="2026/04/02 15:40:48.280",-0.05877,0.04206,0.18306,-0.3386,0.10023,-0.23986,18.36191,-0.00297,-0.01559,0.00725,868.80493,0.12399,-0.04243,0.07958,0.18035,0.03929,-0.06284,-0.19047,0.07176,0.06281
="2026/04/02 15:40:48.300",-0.02782,-0.01951,0.2719,0.22772,0.26351,-1.20155,16.58155,-0.09804,0.01767,-0.01327,868.91046,-0.29326,0.0365,-0.04847,-0.20486,0.05774,-0.17454,-0.01181,0.0388,0.29699
="2026/04/02 15:40:48.320",0.01281,-0.08829,0.26178,-0.10696,-0.05098,0.26369,17.77511,0.05537,-0.00218,-0.00321,867.27203,-0.09122,-0.04502,0.09098,0.25804,-0.03649,-0.10536,-0.32455,-0.0215,0.01485
="2026/04/02 15:40:48.340",0.16672,-0.10706,0.26393,-0.40312,0.06881,-0.68554,16.99285,-0.01388,0.00653,-0.02181,865.07959,0.06172,0.01388,-0.06156,-0.27558,0.03072,0.19493,0.09971,-0.01307,0.29132
="2026/04/02 15:40:48.360",0.13418,-0.11931,0.18335,0.23091,-0.05918,-0.00014,18.57224,-0.05343,-0.0164,-0.02447,863.94092,-0.15497,0.03176,-0.06003,0.04311,-0.03146,-0.01895,-0.10774,0.01375,0.09563
="2026/04/02 15:40:48.380",0.22806,-0.10314,-0.02046,-0.36248,-0.08917,0.57439,20.14604,-0.01875,0.02041,-0.00684,861.07507,0.17112,-0.03308,0.00679,0.06234,-0.02277,0.22974,-0.11559,-0.02677,0.06462
="2026/04/02 15:40:48.400",0.17981,-0.10642,-0.08458,0.2923,0.05293,-0.20563,21.26933,-0.00285,0.00372,-0.01861,860.50793,-0.07843,0.01548,-0.21318,-0.17008,0.01379,0.19334,0.27599,-0.01625,0.1351
="2026/04/02 15:40:48.420",0.10149,-0.05524,-0.20867,0.05317,-0.17792,0.98515,23.39967,0.02565,-0.01064,0.02126,860.04309,0.00544,-0.00384,0.1424,0.31389,-0.07791,-0.0485,-0.20594,-0.02989,-0.10142
